Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,23.618377911859113,7.530818721175035e-06,3.902241756862929e-05,6.9348432889639756e-06,6.9348432889639756e-06,7.789959454385096e-06,9.474547742635961e-06,5.03003747231258e-06,7.638687193627967e-06,Horomaka,trachytic & andesitic,Quaternary,Quaternary,0
-1,22.9270674373848,7.759014806651974e-06,4.405878528623207e-05,6.744166057615075e-06,6.744166057615075e-06,7.62700099674942e-06,1.1676026786214526e-05,4.980279505252839e-06,2.1646696568275302e-05,Horomaka,basaltic,Quaternary,Quaternary,0
0,2.029835975318025,4.429031826104544e-06,2.720574809346185e-05,4.804810476613294e-06,4.804810476613294e-06,4.277145889772572e-06,2.010894784705516e-05,4.102723672143847e-08,7.266670518003551e-06,Back arc basin,basaltic,Miocene,Cretaceous,0
-1,19.99080467224121,7.421420107219838e-06,4.088327196841839e-05,6.999743668745263e-06,6.999743668745263e-06,6.225763627298875e-06,1.0500228740085247e-05,5.042076436802745e-06,1.64357400366418e-05,Horomaka,trachytic & andesitic,Quaternary,Quaternary,0
-1,17.57399390901774,7.334169397068417e-06,2.8937562892058618e-05,7.529971352791879e-06,7.529971352791879e-06,8.25643292046152e-06,6.741866706980192e-06,5.132370674982666e-06,1.4351134306905434e-05,Horomaka,basaltic,Quaternary,Quaternary,0
-1,0.21578417718410486,1.381504262099043e-06,3.4590358532188156e-05,5.590450200543273e-06,5.590450200543273e-06,1.6783046064006154e-08,1.0356994310670378e-05,3.642261493951082e-06,1.7648364762216767e-05,Tasmantid,"basaltic & rudaceous (cgl, br)",Miocene,Miocene,0
-1,13.237140558749106,6.769219463614087e-06,2.2125778594782243e-05,6.604873670304306e-06,6.604873670304306e-06,6.974853022256868e-06,4.65111967358566e-06,4.947373061440886e-06,7.615489759798918e-06,Horomaka,basaltic,Quaternary,Paleocene,0
-1,7.2975319922700415,5.80501507314022e-06,5.702322328402949e-05,5.804193298800696e-06,5.804193298800696e-06,8.112240720947739e-06,8.16825506593387e-06,4.002577949525807e-06,1.456504953302694e-05,Lord Howe,basaltic,Pliocene,Miocene,0
0,16.99319839477539,7.43999407859519e-06,3.1096555275962704e-05,6.111706625233637e-06,6.111706625233637e-06,3.81984273190028e-06,1.3816264238208169e-05,4.41819396801293e-06,0.00013369080643457984,Horomaka,andesitic,Pliocene,Cretaceous,0
-1,5.282670123806085,5.1832957250839635e-06,1.2913052799019708e-05,7.580923420401988e-06,7.580923420401988e-06,5.75919369583907e-06,7.5770241117438935e-06,5.139895063068619e-06,3.413454079062644e-06,Horomaka,basaltic,Quaternary,Quaternary,0
-1,7.049901008605957,5.882403911527945e-06,4.236416345455503e-05,6.782402124372312e-06,6.782402124372312e-06,5.151046480023069e-06,2.6301495608270435e-05,5.012725875712932e-06,1.2957013845698312e-05,Horomaka,andesitic & basaltic,Pliocene,Pliocene,0
-1,12.361993789672852,6.893304998811798e-06,4.647486112245385e-06,6.896080776641611e-06,6.896080776641611e-06,6.311740435194224e-06,1.053520704876274e-06,5.0109966658055775e-06,2.0440002057908192e-06,Horomaka,peralkaline,Quaternary,Quaternary,0
-1,7.328930539112403,5.954892842445174e-06,4.287831166313333e-05,7.113244313031894e-06,7.113244313031894e-06,7.667613317607902e-06,2.7218004917560878e-05,5.0568797295403895e-06,1.2057089191529518e-05,Horomaka,basanitic,Pliocene,Pliocene,0
-1,8.099274448964977,6.346621945530479e-06,2.212278441805096e-05,6.512754055152721e-06,6.512754055152721e-06,6.5188023654627605e-06,7.847527284930341e-06,4.939911915609663e-06,1.662573048645367e-06,Horomaka,basaltic,Quaternary,Quaternary,0
